state_nm,total_spent,total_spent_$,population,spending_per_capita,rank
WEST VIRGINIA,45447652942,$45.45B,1778373,25555.74839586521,1
MAINE,34044670123,$34.04B,1387817,24531.09460613323,2
DELAWARE,24774130529,$24.77B,1021191,24260.036103921793,3
VERMONT,15677083993,$15.68B,647106,24226.454387689188,4
NEW HAMPSHIRE,33781470632,$33.78B,1394868,24218.399613440124,5
MICHIGAN,234046132079,$234.05B,10077761,23224.020898987383,6
SOUTH CAROLINA,122286388643,$122.29B,5296225,23089.349233274643,7
PENNSYLVANIA,295353400906,$295.35B,13018639,22686.964505736738,8
ALABAMA,112870764350,$112.87B,5086768,22189.092238922633,9
WISCONSIN,131117326480,$131.12B,5914872,22167.39880085317,10
FLORIDA,493870979946,$493.87B,22416077,22031.998727788097,11
ARKANSAS,66808400620,$66.81B,3049391,21908.768216342214,12
MISSISSIPPI,63960717379,$63.96B,2946779,21705.298354236947,13
OREGON,91414864439,$91.41B,4254293,21487.674788501874,14
RHODE ISLAND,23589803807,$23.59B,1101801,21410.221815917757,15
CONNECTICUT,77121301419,$77.12B,3624508,21277.72967227552,16
KENTUCKY,95989201378,$95.99B,4534824,21167.12828943306,17
MONTANA,23372344863,$23.37B,1116875,20926.553878455514,18
TENNESSEE,147553635191,$147.55B,7066383,20881.069592604872,19
WYOMING,12100588321,$12.10B,582397,20777.216093146086,20
MISSOURI,128621524116,$128.62B,6191814,20772.833957221585,21
IOWA,66353290678,$66.35B,3210507,20667.542751970326,22
INDIANA,141313682028,$141.31B,6851073,20626.503618922176,23
NORTH CAROLINA,220310999741,$220.31B,10730404,20531.47297538844,24
NEW MEXICO,43130757943,$43.13B,2120246,20342.336664236132,25
ARIZONA,147888070490,$147.89B,7378838,20042.189636091753,26
OHIO,236113888397,$236.11B,11810293,19992.21258922196,27
SOUTH DAKOTA,18055123547,$18.06B,907428,19897.03155181458,28
KANSAS,58311931213,$58.31B,2947197,19785.555975050193,29
HAWAII,28446207433,$28.45B,1445235,19682.755699246143,30
OKLAHOMA,79020152924,$79.02B,4028634,19614.626924163378,31
MINNESOTA,112379738559,$112.38B,5739445,19580.24487716147,32
NEW JERSEY,180064526916,$180.06B,9343809,19270.998253067886,33
NEW YORK,380264187455,$380.26B,19852366,19154.60290501394,34
IDAHO,37008000564,$37.01B,1934262,19132.878877835577,35
MASSACHUSETTS,134194142698,$134.19B,7044056,19050.692200345937,36
LOUISIANA,87442459774,$87.44B,4611961,18959.93044477176,37
WASHINGTON,148021752736,$148.02B,7816116,18938.018926024128,38
VIRGINIA,164352179277,$164.35B,8705170,18879.835692697558,39
MARYLAND,116117415941,$116.12B,6206011,18710.47536670496,40
ILLINOIS,230744021757,$230.74B,12694798,18176.265723724002,41
NEBRASKA,35743197387,$35.74B,1978707,18063.916177079274,42
NEVADA,56404468747,$56.40B,3184612,17711.566981158143,43
GEORGIA,190128659545,$190.13B,10940407,17378.5728030959,44
NORTH DAKOTA,13306854382,$13.31B,784841,16954.841021302404,45
COLORADO,94044222047,$94.04B,5862189,16042.509384634306,46
PUERTO RICO,51725002691,$51.73B,3234309,15992.597705104861,47
CALIFORNIA,620753260226,$620.75B,39287377,15800.32335134005,48
TEXAS,439430386088,$439.43B,30188424,14556.254612297747,49
ALASKA,10589749952,$10.59B,735706,14393.996993364197,50
UTAH,44333143141,$44.33B,3392331,13068.637211698977,51
DISTRICT OF COLUMBIA,8863905672,$8.86B,681294,13010.397379105056,52
